Anzahl Accounts,Anzahl Payments in Historie, Zeit zum hashen

10,10,0.089 Sekunden
10,20,0.167 Sekunden
10,30,0.079 Sekunden
10,40,0.091 Sekunden
20,60,0.16 Sekunden
20,80,0.163 Sekunden
20,100,0.171 Sekunden
20,120,0.19 Sekunden
30,150,0.979 Sekunden
19,169,0.376 Sekunden
30,199,0.325 Sekunden
30,229,0.292 Sekunden
10,10,0.086 Sekunden
10,20,0.079 Sekunden
10,30,0.089 Sekunden
5,35,0.055 Sekunden
10,45,0.091 Sekunden
10,55,0.092 Sekunden
10,65,0.102 Sekunden
10,75,0.588 Sekunden
20,95,0.195 Sekunden
20,115,0.193 Sekunden
15,130,0.167 Sekunden
15,145,0.181 Sekunden
25,170,0.781 Sekunden
25,195,1.495 Sekunden
25,220,0.289 Sekunden
25,245,0.289 Sekunden
22,267,11.404 Sekunden
0,267,135.235 Sekunden
10,10,3.252 Sekunden
11,21,3.712 Sekunden
12,33,2.091 Sekunden
26,87,1.575 Sekunden
40,141,3.214 Sekunden
40,181,1.128 Sekunden
26,207,27.568 Sekunden
15,236,0.721 Sekunden
21,282,5.932 Sekunden
15,20,0.105 Sekunden
15,35,0.114 Sekunden
20,55,2.789 Sekunden
20,75,0.626 Sekunden
20,95,0.487 Sekunden
19,114,1.511 Sekunden
15,129,4.946 Sekunden
15,144,0.677 Sekunden
15,20,0.146 Sekunden
15,35,0.732 Sekunden
0,0,0.07 Sekunden
0,0,0.008 Sekunden
0,0,0.01 Sekunden
0,0,0.002 Sekunden
0,0,0.004 Sekunden
10,60,0.054 Sekunden
10,70,0.059 Sekunden
10,80,0.061 Sekunden
10,90,0.06 Sekunden
10,100,0.064 Sekunden
10,110,0.062 Sekunden
10,120,0.061 Sekunden
10,130,0.064 Sekunden
10,140,0.082 Sekunden
10,150,0.069 Sekunden
35,35,0.11 Sekunden
50,100,0.147 Sekunden
10,150,0.095 Sekunden
10,300,0.117 Sekunden
20,320,0.143 Sekunden
30,350,0.175 Sekunden
40,390,0.209 Sekunden
50,440,0.24 Sekunden
50,1578,0.661 Sekunden
49,1597,0.61 Sekunden
43,3063,1.044 Sekunden
5,47,0.67 Sekunden
5,182,0.088 Sekunden
5,182,0.778 Sekunden
5,185,1.355 Sekunden
5,328,0.311 Sekunden
0,0,0.003 Sekunden
10,952,0.341 Sekunden
10,1442,0.505 Sekunden
10,2866,0.958 Sekunden
10,4311,1.44 Sekunden
10,5736,1.893 Sekunden
10,1597,0.537 Sekunden
10,1600,0.546 Sekunden
10,3200,1.041 Sekunden
10,4800,1.557 Sekunden
10,6400,2.099 Sekunden
0,40,0.041 Sekunden
0,40,0.039 Sekunden
0,40,0.042 Sekunden
10,10,0.105 Sekunden
0,0,0.384 Sekunden
0,0,0.015 Sekunden
0,0,0.005 Sekunden
0,0,0.009 Sekunden
0,0,0.012 Sekunden
0,0,0.007 Sekunden
0,0,0.006 Sekunden
0,0,0.005 Sekunden
0,0,0.006 Sekunden
0,0,0.014 Sekunden
5,5,0.053 Sekunden
5,5,0.043 Sekunden
5,10,0.04 Sekunden
5,15,0.054 Sekunden
0,15,0.018 Sekunden
0,0,0.949 Sekunden
0,0,3.086 Sekunden
0,0,0 Sekunden
0,0,0.002 Sekunden
0,0,0 Sekunden
0,0,0.001 Sekunden
0,0,0.002 Sekunden
0,0,1.01 Sekunden
0,0,1.007 Sekunden
0,0,1.01 Sekunden
0,0,1.002 Sekunden
0,0,1.005 Sekunden
0,0,1.004 Sekunden
0,0,1.001 Sekunden
0,0,0.637 Sekunden
10,10,0.086 Sekunden
10,20,0.098 Sekunden
10,20,0.088 Sekunden
10,20,0.087 Sekunden
0,0,0.523 Sekunden
10,10,0.126 Sekunden
10,20,0.101 Sekunden
10,30,0.084 Sekunden
10,40,0.087 Sekunden
0,0,0.11 Sekunden
5,5,0.062 Sekunden
5,10,0.048 Sekunden
0,10,0.031 Sekunden
5,15,0.068 Sekunden
5,15,0.063 Sekunden
5,15,0.072 Sekunden
5,15,0.062 Sekunden
5,20,0.051 Sekunden
5,25,0.058 Sekunden
5,30,0.062 Sekunden
5,40,0.062 Sekunden
5,45,0.094 Sekunden
5,45,0.096 Sekunden
0,0,0.023 Sekunden
0,5,0.042 Sekunden
0,10,0.017 Sekunden
0,10,0.018 Sekunden
0,5,0.025 Sekunden
0,5,0.041 Sekunden
0,10,0.023 Sekunden
0,10,0.046 Sekunden
0,10,0.044 Sekunden
5,15,0.076 Sekunden
5,15,0.089 Sekunden
5,15,0.1 Sekunden
5,15,0.111 Sekunden
5,15,0.079 Sekunden
5,15,0.086 Sekunden
5,15,0.081 Sekunden
5,15,0.082 Sekunden
5,15,0.119 Sekunden
5,20,0.056 Sekunden
5,20,0.13 Sekunden
5,20,0.122 Sekunden
5,20,0.12 Sekunden
0,20,0.065 Sekunden
5,25,0.08 Sekunden
